City,Area,Plot_Type,Example_Search_String
Bangalore,Whitefield Outskirts,Regular,"Whitefield residential plot layout"
Bangalore,Sarjapur Road Layouts,Mix,"Sarjapur Road residential plots"
Bangalore,Devanahalli New Layouts,Irregular,"Devanahalli plot layout"
Bangalore,Electronic City Phase 2,Mix,"Electronic City Phase 2 plots"
Bangalore,Yelahanka New Layouts,Irregular,"Yelahanka residential plots"
Bangalore,Hoskote Outskirts,Regular,"Hoskote residential plots"
Bangalore,Kanakapura Road Layouts,Mix,"Kanakapura Road plots"
Hyderabad,Gachibowli Outskirts,Regular,"Gachibowli residential layout"
Hyderabad,Shadnagar Layouts,Irregular,"Shadnagar plot layout"
Hyderabad,Patancheru Plots,Mix,"Patancheru residential plots"
Hyderabad,Kompally Layouts,Regular,"Kompally plot layout"
Hyderabad,Narsingi Outskirts,Regular,"Narsingi residential plots"
Hyderabad,Medchal Outskirts,Irregular,"Medchal plot layout"
Chennai,OMR New Layouts,Regular,"OMR residential plots"
Chennai,Tambaram Outskirts,Irregular,"Tambaram plot layout"
Chennai,Chengalpattu Plots,Irregular,"Chengalpattu residential plots"
Chennai,Sholinganallur Layouts,Mix,"Sholinganallur residential plots"
Chennai,Sriperumbudur Outskirts,Regular,"Sriperumbudur plot layout"
Pune,Hinjewadi Outskirts,Regular,"Hinjewadi residential plots"
Pune,Wakad Layouts,Mix,"Wakad residential plots"
Pune,Pirangut Plots,Irregular,"Pirangut plot layout"
Pune,Kharadi Outskirts,Regular,"Kharadi residential plots"
Pune,Talegaon New Layouts,Mix,"Talegaon plots"
Pune,Wagholi Outskirts,Irregular,"Wagholi residential plots"
Jaipur,Jagatpura Layouts,Mix,"Jagatpura residential plots"
Jaipur,Sanganer Outskirts,Regular,"Sanganer plot layout"
Jaipur,Kalwar Road Plots,Irregular,"Kalwar Road plots"
Jaipur,Tonk Road Layouts,Mix,"Tonk Road residential plots"
Jaipur,Mansarovar New Layouts,Regular,"Mansarovar plot layout"
Kochi,Kakkanad Outskirts,Regular,"Kakkanad residential plots"
Kochi,Edapally Layouts,Mix,"Edapally plots"
Kochi,Tripunithura Plots,Irregular,"Tripunithura residential plots"
Kochi,Thrikkakara Layouts,Regular,"Thrikkakara plots"
Delhi,Dwarka Outskirts,Mix,"Dwarka residential plots"
Delhi,Rohini Layouts,Regular,"Rohini plot layout"
Delhi,Greater Noida Outskirts,Irregular,"Greater Noida plots"
Delhi,Yamuna Expressway Layouts,Mix,"Yamuna Expressway residential plots"
Delhi,Ghaziabad Outskirts,Regular,"Ghaziabad plot layout"
Delhi,Gurgaon Layouts,Irregular,"Gurgaon plots"
Mumbai,Panvel Outskirts,Regular,"Panvel residential plots"
Mumbai,Kalyan-Dombivli Layouts,Mix,"Kalyan-Dombivli plots"
Mumbai,Vasai-Virar Plots,Irregular,"Vasai-Virar residential plots"
Mumbai,Thane Outskirts,Regular,"Thane plot layout"
Mumbai,Ulwe (Navi Mumbai) Layouts,Mix,"Ulwe plots"
Ahmedabad,SG Highway Outskirts,Regular,"SG Highway plots"
Ahmedabad,Naroda Layouts,Irregular,"Naroda residential plots"
Kolkata,Rajarhat New Layouts,Mix,"Rajarhat plots"
Kolkata,New Town Outskirts,Regular,"New Town residential plots"
Lucknow,Gomti Nagar Extension Layouts,Irregular,"Gomti Nagar Extension plots"
Lucknow,Chinhat Outskirts,Regular,"Chinhat residential plots"
Nagpur,Hingna Road Layouts,Mix,"Hingna Road plots"
Nagpur,MIHAN Area Outskirts,Regular,"MIHAN area residential plots"
Chandigarh,Zirakpur Layouts,Mix,"Zirakpur plots"
Chandigarh,Kharar Outskirts,Regular,"Kharar residential plots"
Bhubaneswar,Patia Layouts,Irregular,"Patia plots"
Bhubaneswar,Chandrasekharpur Outskirts,Regular,"Chandrasekharpur plots"
